$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLX,0,400,400,400,400,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELWS,140,140,140,140,140,140,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIO,0,3.6,2.59,2.19,2.23,2.88,2.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANN,0.065,0.065,0.065,0.065,0.065,0.065,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,ELEV
1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,253.38,150.76,109.9,96.48,51.74,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,247.97,148.95,104,93.05,48.4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,240.83,133.12,98.02,88.89,45.26,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,230.07,115.42,91.54,83.79,42.17,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,219.58,110.52,85.08,79.03,39.27,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,206.36,105.66,78.88,75.3,36.18,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,191.34,90.28,74.08,72.36,33.19,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,175.43,73.28,70.51,69.8,30.63,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,129.82,65.28,67.25,65.45,28.19,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,88.27,56.43,63.81,60.03,26.55,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,78.19,40.82,60.42,55.41,25.69,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,62.74,27.26,57.14,50.84,25.05,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,48.35,22.74,52.97,46.76,24.58,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,43.85,20.21,48.16,35,24.12,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,34,15,34,15,23.65,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,28,12,25,5,20,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,25,10,15,5,15,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,5,5,5,5,8,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,2,2,2,2,2,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0,0,0,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62.74,27.26,57.14,50.84,25.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,48.35,22.74,52.97,46.76,24.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43.85,20.21,48.16,43.59,24.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,40.81,17.68,43.18,21.04,23.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,37.93,15.43,37.16,0,23.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,34.32,13.99,23.78,0,22.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25.79,12.96,7.51,0,14.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9.71,6.76,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
