$Branch 3 Inflow Temperature,
JDAY 1.0 = 1/1/2000 12 am,
JDAY,TIN
1895,31.8
1937,29.7
1958,29
2001,25.3
2027,24.5
2056,24.5
2091.576389,27.5
2119,22.5
2147,22.4
2160.541667,21
2168,25.1
2217,26.6
2231.583333,29.2
2236,23.1
2245.458333,28
2323.579861,27.2
2413.486111,25.1
2442,23.3
2525.539583,24.2
2615,29.3
2796,24.5
2835,24.4
2961,24.5
3641.639583,27
3672.615972,29.5
3681.569444,28.7
3710.614583,28.2
3764.671528,28.8
3766.350694,24.9
3793.649306,28
3795.690972,27.5
3834.479167,24.7
3919.572917,25.3
3974.608333,26.5
4035.547222,27.65
4066.597222,29.68
4088.524306,28.8
4105.550694,30.22
4134.570139,29.78
4169.565278,26.48
4184.517361,27.6
4303.427083,25.2
4390.5375,27.23
4424.590278,29.15
4436.708333,29.1
4450.609028,28.98
4485.583333,26.58
4507.563889,29.67
4542.502083,27.16
4550.409722,24.62
4555.618056,29
4578.453472,25.95
4580.453472,25.95
4606.625,25.31
4607.625,25.31
4632.472222,25.4
4636.329167,23.25
4666.523611,26.14
4667.381944,24.06
4673.680556,24.3
4694.525694,26.82
4703.375,23.98
4708,23.46
4732.438194,24.97
4736.554861,27.92
4758.557639,28.17
4777.472222,28.95
4792.559028,28.67
4792.635417,30.1
4809.296528,24.81
4822.536806,30.2
4844.479167,30.08
4854.329861,25.11
4940.600694,28.2
4970.380556,23.95
4981.533333,27.6
5005.290972,22.92
5015.560417,26.15
5027.321528,22.6
5043.552778,24.86
5065.4,23.91
5071.571528,25.88
5081.541667,26.8
5100.48125,25.84
5101.390278,24.19
5136.524306,27.32
5137.386806,23.94
5166.408333,24.2
5167.485417,27.15
5184.680556,30.3
5198.375,24.94
5201.434028,26.91
5239.59375,29.27
5240.399306,25.46
5261.522917,28.54
5262.380556,25.45
5284.406944,25.96
5285.447222,26.3
5286.520833,31.3
5320.356944,25.53
5321.477083,28.17
5346.404167,24.89
5347.545139,26.58
5374.334028,22.47
5375.372917,23.03
5376.506944,25
5407.576389,25.2
5408.39375,23.12
5436.517361,25.6
5463.585417,26
5494.34375,23.67
5495.479167,26.75
5522.377083,24.42
5523.496528,26.94
5534.541667,29.3
5556.4125,25.11
5557.5,29.7
5586.538194,30.68
5603.46875,28.16
5615.483333,27.3
5641.458333,25
5657.344444,25.96
5659.595833,27.95
5690.372917,24.35
5786.500694,25.6
5793.522917,25.8
5794.385417,24.1
5830.473611,28.8
5905.622222,31.6
6003.618056,25.7
